file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
AP001,Andhra Pradesh,Tirupati,APPCB,"Tirumala, Tirupati ",July,7,2016,13.6807357,79.3508975
AP002,Andhra Pradesh,Vijayawada,APPCB,"PWD Grounds, Vijayawada ",May,5,2017,16.5115306,80.6160469
AP003,Andhra Pradesh,Visakhapatnam,APPCB,"GVM Corporation, Visakhapatnam ",July,7,2017,17.6935526,83.2921297
AP004,Andhra Pradesh,Rajamahendravaram,APPCB,"Anand Kala Kshetram, Rajamahendravaram ",September,9,2017,16.9955344,81.777335
AP005,Andhra Pradesh,Amaravati,APPCB,"Secretariat, Amaravati ",November,11,2017,16.5060836,80.5237337
AP006,Andhra Pradesh,Anantapur,APPCB,"Gulzarpet, Anantapur ",August,8,2022,14.6754526,77.5977596
AP007,Andhra Pradesh,Chittoor,APPCB,"Gangineni Cheruvu, Chittoor ",November,11,2022,13.2053706,79.1001608
AP008,Andhra Pradesh,Tirupati,APPCB,"Vaikuntapuram, Tirupati ",November,11,2022,13.6143707,79.41201079999999
AP009,Andhra Pradesh,Vijayawada,APPCB,"Kanuru, Vijayawada ",January,1,2023,16.496767,80.6905974
AP010,Andhra Pradesh,Kadapa,APPCB,"Yerramukkapalli, Kadapa ",January,1,2023,14.4752936,78.8216861
AR001,Arunachal Pradesh,Naharlagun,APSPCB,"Naharlagun, Naharlagun ",March,3,2021,27.1308555,93.709712
AS001,Assam,Guwahati,PCBA,"Railway Colony, Guwahati ",March,3,2019,26.1795873,91.784315
AS002,Assam,Guwahati,PCBA,"Pan Bazaar, Guwahati ",December,12,2020,26.1859679,91.7453642
AS003,Assam,Guwahati,PCBA,"IITG, Guwahati ",September,9,2022,26.2027435,91.7003706
AS004,Assam,Sivasagar,PCBA,"Girls College, Sivasagar ",September,9,2022,26.9834936,94.6394226
AS005,Assam,Nalbari,PCBA,"Bata Chowk, Nalbari ",November,11,2022,26.3533631,91.3983662
AS006,Assam,Guwahati,PCBA,"LGBI Airport, Guwahati ",December,12,2022,26.1805978,91.753943
